"Codi_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Dia_setmana","ID_Dia_setmana","Tipus_dia","Any","Mes","Nom_mes","Dia_de_mes","Hora_de_dia","Torn","Tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2018S000001    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel                                         ","0117 0119","Dilluns","Dl","Laboral","2018",1,"Gener","1","03","Nit","Abast multiple","429910.63","4580909.28","2.160723","41.374806"
"2018S000002    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",361406,"Viladomat / Rosselló                              ","0255 0255","Dilluns","Dl","Laboral","2018",1,"Gener","1","00","Nit","Col.lisió fronto-lateral","428854.85","4582229.02","2.148281","41.386492"
"2018S000003    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria                                         ","0241 0249","Dilluns","Dl","Laboral","2018",1,"Gener","1","02","Nit","Abast","431423.35","4585106.03","2.178621","41.412675"
"2018S000004    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",111704,"Escòcia / Vèlia                                   ","0031 0031","Dilluns","Dl","Laboral","2018",1,"Gener","1","09","Matí","Xoc contra element estàtic","431781.73","4586859.67","2.180756","41.428673"
"2018S000005    ",8,"Nou Barris",56,"Vallbona",330606,"C-17 (Barcelona)                                  ","0001 0001","Dilluns","Dl","Laboral","2018",1,"Gener","1","09","Matí","Bolcada (més de dues rodes)","431653.89","4590878.10","2.179432","41.463661"
"2018S000006    ",4,"Les Corts",19,"les Corts",144601,"Diagonal                                          ","0543 0543","Dilluns","Dl","Laboral","2018",1,"Gener","1","17","Tarda","Abast","427951.34","4582651.53","2.137733","41.390612"
"2018S000007    ",10,"Sant Martí",73,"la Verneda i la Pau",60807,"Cantàbria                                         ","0010B0010B","Dilluns","Dl","Laboral","2018",1,"Gener","1","18","Tarda","Abast","433559.03","4585715.99","2.203081","41.418318"
"2018S000008    ",3,"Sants-Montjuïc",17,"Sants - Badal",312400,"Sants / Begur                                     ","0293 0293","Dilluns","Dl","Laboral","2018",1,"Gener","1","18","Tarda","Col.lisió fronto-lateral","427283.82","4581005.67","2.129219","41.375528"
"2018S000009    ",2,"Eixample",10,"Sant Antoni",323203,"Comte d'Urgell / Sepúlveda                        ","0127 0127","Dilluns","Dl","Laboral","2018",1,"Gener","1","18","Tarda","Col.lisió lateral","429810.42","4581602.40","2.159811","41.381177"
"2018S000010    ",8,"Nou Barris",45,"Porta",100209,"Alcúdia / Deià                                    ","0044 0044","Dilluns","Dl","Laboral","2018",1,"Gener","1","19","Tarda","Col.lisió fronto-lateral","431022.10","4587552.94","2.173315","41.43463"
