Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S000253    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria                                         ,321,Divendres,Dv,Laboral,2019,1,Gener,11,10,Matí,Caiguda (dues rodes),431894.47 ,4585568.41,2.1838275073077424,41.41695945315808
2019S006454    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa                               ,347,Divendres,Dv,Laboral,2019,8,Agost,16,7,Matí,Abast,431900.81 ,4585612.04,2.1838984446981926,41.41735294824762
2019S006494    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Sant Antoni Maria Claret / Maragall               ,,Diumenge,Dg,Laboral,2019,8,Agost,18,21,Tarda,Atropellament,431603.55 ,4585443.43,2.180360868364971,41.41580906575784
2019S009443    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser                                            ,50,Dissabte,Ds,Laboral,2019,12,Desembre,7,14,Tarda,Abast,431554.07 ,4584884.72,2.1798321649120167,41.41077278352368
2019S004807    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València                                          ,585,Dimecres,Dc,Laboral,2019,6,Juny,19,18,Tarda,Abast,431943.56 ,4584665.15,2.1845166158054887,41.408828330237334
2019S009715    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana / Aragó                                 ,,Dimarts,Dm,Laboral,2019,12,Desembre,17,14,Tarda,Col.lisió lateral,432131.07 ,4584631.66,2.186763614734837,41.40854257748857
2019S008122    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana / Aragó                                 ,,Dilluns,Dl,Laboral,2019,10,Octubre,21,6,Matí,Col.lisió lateral,432131.07 ,4584631.66,2.186763614734837,41.40854257748857
2019S001387    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,286300,Meridiana / Rogent                                ,,Dijous,Dj,Laboral,2019,2,Febrer,21,9,Matí,Atropellament,432131.12 ,4584644.15,2.1867628100026737,41.40865507411528
2019S005614    ,10,Sant Martí,72,Sant Martí de Provençals,322608,Guipúscoa / Selva de Mar                          ,,Dilluns,Dl,Laboral,2019,7,Juliol,15,15,Tarda,Col.lisió lateral,433083.45 ,4585580.97,2.198052034813021,41.41717261851774
2019S005960    ,10,Sant Martí,72,Sant Martí de Provençals,322608,Guipúscoa / Selva de Mar                          ,,Dissabte,Ds,Laboral,2019,7,Juliol,27,6,Matí,Col.lisió fronto-lateral,433083.45 ,4585580.97,2.198052034813021,41.41717261851774
2019S001292    ,10,Sant Martí,65,el Clot,161101,Independència / Consell de Cent                   ,,Dilluns,Dl,Laboral,2019,2,Febrer,18,15,Tarda,Col.lisió lateral,432028.36 ,4584359.69,2.185565462504781,41.40608436155887
2019S006283    ,10,Sant Martí,65,el Clot,169409,Corts Catalanes / Glòries Catalanes               ,,Dimecres,Dc,Laboral,2019,8,Agost,7,13,Matí,Abast,432042,4583976.74,2.185771695617578,41.402636438446066
2019S007071    ,10,Sant Martí,65,el Clot,169409,Corts Catalanes                                   ,829,Divendres,Dv,Laboral,2019,9,Setembre,13,8,Matí,Col.lisió lateral,432229.7  ,4584197.87,2.1879921980190473,41.40464393743958
